Date,CountrySubArea,CountrySubAreaUnit,Quantity
2018 28,South,Fujian,1910
2018 29,South,Fujian,1890
2018 30,South,Fujian,1930
2018 31,South,Fujian,1970
2018 32,South,Fujian,1860
2018 33,South,Fujian,1860
2018 34,South,Fujian,1900
2018 35,South,Fujian,1900
2018 36,South,Fujian,1980
2018 37,South,Fujian,1880
2018 38,South,Fujian,2020
2018 39,South,Fujian,2010
2018 40,South,Fujian,2010
2018 41,South,Fujian,1940
2018 42,South,Fujian,1940
2018 43,South,Fujian,1970
2018 44,South,Fujian,1920
2018 45,South,Fujian,1980
2018 46,South,Fujian,1960
2018 47,South,Fujian,1930
2018 48,South,Fujian,1930
2018 49,South,Fujian,1950
2018 50,South,Fujian,1770
2018 51,South,Fujian,1920
2018 52,South,Fujian,1990
2019 01,South,Fujian,1970
2019 02,South,Fujian,1990
2019 03,South,Fujian,1960
2019 04,South,Fujian,1940
2019 05,South,Fujian,1970
2019 06,South,Fujian,2030
2019 07,South,Fujian,2030
2019 08,South,Fujian,2030
2019 09,South,Fujian,1990
2019 10,South,Fujian,1790
2019 11,South,Fujian,1780
2019 12,South,Fujian,1770
2019 13,South,Fujian,1930
2019 14,South,Fujian,1890
2019 15,South,Fujian,1970
2019 16,South,Fujian,1920
2019 17,South,Fujian,1920
2019 18,South,Fujian,1950
2019 19,South,Fujian,1960
2019 20,South,Fujian,2020
2019 21,South,Fujian,2050
2019 22,South,Fujian,1950
2019 23,South,Fujian,1910
2019 24,South,Fujian,2020
2019 25,South,Fujian,1940
2019 26,South,Fujian,1900
2019 27,South,Fujian,2190
2019 28,South,Fujian,2360
2019 29,South,Fujian,2440
2019 30,South,Fujian,2750
2019 31,South,Fujian,2640
2019 32,South,Fujian,2480
2019 33,South,Fujian,2390
2019 34,South,Fujian,2730
2019 35,South,Fujian,2890
2019 36,South,Fujian,2730
2019 37,South,Fujian,2630
2019 38,South,Fujian,2440
2019 39,South,Fujian,2240
2019 40,South,Fujian,2370
2019 41,South,Fujian,2370
2019 42,South,Fujian,2380
2019 43,South,Fujian,2660
2019 44,South,Fujian,2790
2019 45,South,Fujian,2610
2019 46,South,Fujian,2420
2019 47,South,Fujian,2270
2019 48,South,Fujian,2320
2019 49,South,Fujian,2700
2019 50,South,Fujian,2520
2019 51,South,Fujian,2500
2019 52,South,Fujian,2480
2020 01,South,Fujian,2350
2020 02,South,Fujian,2400
2020 03,South,Fujian,2740
2020 04,South,Fujian,2660
2020 05,South,Fujian,2460
2020 06,South,Fujian,2460
2020 07,South,Fujian,2790
2020 08,South,Fujian,2790
2020 09,South,Fujian,2680
2020 10,South,Fujian,2570
2020 11,South,Fujian,2490
2020 12,South,Fujian,2860
2020 13,South,Fujian,2860
2020 14,South,Fujian,3050
2020 15,South,Fujian,3320
2020 16,South,Fujian,2930
2020 17,South,Fujian,2910
2020 18,South,Fujian,3230
2020 19,South,Fujian,3680
2020 20,South,Fujian,3550
2020 21,South,Fujian,3300
2020 22,South,Fujian,3560
2020 23,South,Fujian,3340
2020 24,South,Fujian,3320
2020 25,South,Fujian,3470
2020 26,South,Fujian,3300
2020 27,South,Fujian,3540
2020 28,South,Fujian,3290
2020 29,South,Fujian,3410
2020 30,South,Fujian,3320
2020 31,South,Fujian,3490
2020 32,South,Fujian,3190
2020 33,South,Fujian,3060
2020 34,South,Fujian,2880
2020 35,South,Fujian,3300
2020 36,South,Fujian,3250
2020 37,South,Fujian,3500
2020 38,South,Fujian,3240
2020 39,South,Fujian,3500
2020 40,South,Fujian,3500
2020 41,South,Fujian,3320
2020 42,South,Fujian,3320
2020 43,South,Fujian,3440
2020 44,South,Fujian,3760
2020 45,South,Fujian,3680
2020 46,South,Fujian,3570
2020 47,South,Fujian,3360
2020 48,South,Fujian,3280
2020 49,South,Fujian,3290
2020 50,South,Fujian,3110
2020 51,South,Fujian,3340
2020 52,South,Fujian,3480
2020 53,South,Fujian,3550
2021 01,South,Fujian,3640
2021 02,South,Fujian,3960
2021 03,South,Fujian,3610
2021 04,South,Fujian,3670
2021 05,South,Fujian,3860
2021 06,South,Fujian,3660
2021 07,South,Fujian,3660
2021 08,South,Fujian,3810
2021 09,South,Fujian,3960
2021 10,South,Fujian,4130
2021 11,South,Fujian,3900
2021 12,South,Fujian,4130
2021 13,South,Fujian,3810
2021 14,South,Fujian,3680
2021 15,South,Fujian,3830
2021 16,South,Fujian,3900
2021 17,South,Fujian,4050
2021 18,South,Fujian,3900
2021 19,South,Fujian,3600
2021 20,South,Fujian,3650
2021 21,South,Fujian,3730
2021 22,South,Fujian,3700
2021 23,South,Fujian,3750
2021 24,South,Fujian,3560
2021 25,South,Fujian,3590
2021 26,South,Fujian,3820
2021 27,South,Fujian,3630
2021 28,South,Fujian,3620
2021 29,South,Fujian,3480
2021 30,South,Fujian,3300
2021 31,South,Fujian,3350
2021 32,South,Fujian,3300
2021 33,South,Fujian,3100
2021 34,South,Fujian,3030
2021 35,South,Fujian,3270
2021 36,South,Fujian,3180
2021 37,South,Fujian,2780
2021 38,South,Fujian,2680
2021 39,South,Fujian,2930
2021 40,South,Fujian,2690
2021 41,South,Fujian,2730
2021 42,South,Fujian,2730
2021 43,South,Fujian,2820
2021 44,South,Fujian,2980
2021 45,South,Fujian,3130
2021 46,South,Fujian,3030
2021 47,South,Fujian,3020
2021 48,South,Fujian,3020
2021 49,South,Fujian,3150
2021 50,South,Fujian,2930
2021 51,South,Fujian,2850
2021 52,South,Fujian,2700
2022 01,South,Fujian,2430
2022 02,South,Fujian,2430
2022 03,South,Fujian,2650
2022 04,South,Fujian,2750
2022 05,South,Fujian,2810
2022 06,South,Fujian,2780
2022 07,South,Fujian,2930
2022 08,South,Fujian,2960
2022 09,South,Fujian,2740
2022 10,South,Fujian,3080
2022 11,South,Fujian,3110
2022 12,South,Fujian,2950
2022 13,South,Fujian,2800
2022 14,South,Fujian,2480
2022 15,South,Fujian,2420
2022 16,South,Fujian,2380
2022 17,South,Fujian,2360
2022 18,South,Fujian,2480
2022 19,South,Fujian,2480
2022 20,South,Fujian,2400
2022 21,South,Fujian,2530
2022 22,South,Fujian,2340
2022 23,South,Fujian,2440
2022 24,South,Fujian,2200
2022 25,South,Fujian,2330
2022 26,South,Fujian,2180
2022 27,South,Fujian,2020
2022 28,South,Fujian,2000
2022 29,South,Fujian,2050
2022 30,South,Fujian,2280
2022 31,South,Fujian,2360
2022 32,South,Fujian,2100
2022 33,South,Fujian,1930
2022 34,South,Fujian,2430
