Date,CountrySubArea,CountrySubAreaUnit,Quantity
2015 27,South,Guangxi,2620
2015 28,South,Guangxi,2840
2015 29,South,Guangxi,2770
2015 30,South,Guangxi,2340
2015 31,South,Guangxi,2350
2015 32,South,Guangxi,2410
2015 33,South,Guangxi,2560
2015 34,South,Guangxi,2570
2015 35,South,Guangxi,2360
2015 36,South,Guangxi,2510
2015 37,South,Guangxi,2750
2015 38,South,Guangxi,3330
2015 39,South,Guangxi,3200
2015 40,South,Guangxi,3430
2015 41,South,Guangxi,3430
2015 42,South,Guangxi,3250
2015 43,South,Guangxi,3840
2015 44,South,Guangxi,3500
2015 45,South,Guangxi,2770
2015 46,South,Guangxi,3780
2015 47,South,Guangxi,4120
2015 48,South,Guangxi,4560
2015 49,South,Guangxi,5200
2015 50,South,Guangxi,5250
2015 51,South,Guangxi,4970
2015 52,South,Guangxi,5140
2015 53,South,Guangxi,5080
2016 01,South,Guangxi,5150
2016 02,South,Guangxi,5220
2016 03,South,Guangxi,5270
2016 04,South,Guangxi,5230
2016 05,South,Guangxi,5300
2016 06,South,Guangxi,5120
2016 07,South,Guangxi,5140
2016 08,South,Guangxi,4940
2016 09,South,Guangxi,4780
2016 10,South,Guangxi,4530
2016 11,South,Guangxi,4390
2016 12,South,Guangxi,4490
2016 13,South,Guangxi,3950
2016 14,South,Guangxi,3890
2016 15,South,Guangxi,3960
2016 16,South,Guangxi,3570
2016 17,South,Guangxi,3850
2016 18,South,Guangxi,3930
2016 19,South,Guangxi,3980
2016 20,South,Guangxi,3840
2016 21,South,Guangxi,3590
2016 22,South,Guangxi,3740
2016 23,South,Guangxi,3670
2016 24,South,Guangxi,3710
2016 25,South,Guangxi,3920
2016 26,South,Guangxi,3600
2016 27,South,Guangxi,3680
2016 28,South,Guangxi,4190
2016 29,South,Guangxi,4020
2016 30,South,Guangxi,3880
2016 31,South,Guangxi,3600
2016 32,South,Guangxi,3470
2016 33,South,Guangxi,3480
2016 34,South,Guangxi,3540
2016 35,South,Guangxi,3290
2016 36,South,Guangxi,3380
2016 37,South,Guangxi,3490
2016 38,South,Guangxi,3340
2016 39,South,Guangxi,3670
2016 40,South,Guangxi,3660
2016 41,South,Guangxi,4540
2016 42,South,Guangxi,4540
2016 43,South,Guangxi,4540
2016 44,South,Guangxi,4310
2016 45,South,Guangxi,4650
2016 46,South,Guangxi,4490
2016 47,South,Guangxi,4100
2016 48,South,Guangxi,4310
2016 49,South,Guangxi,4490
2016 50,South,Guangxi,4560
2016 51,South,Guangxi,4370
2016 52,South,Guangxi,4390
2017 01,South,Guangxi,4660
2017 02,South,Guangxi,4540
2017 03,South,Guangxi,4420
2017 04,South,Guangxi,4450
2017 05,South,Guangxi,4500
2017 06,South,Guangxi,4200
2017 07,South,Guangxi,4340
2017 08,South,Guangxi,4330
2017 09,South,Guangxi,4170
2017 10,South,Guangxi,4300
2017 11,South,Guangxi,4130
2017 12,South,Guangxi,4040
2017 13,South,Guangxi,4260
2017 14,South,Guangxi,4290
2017 15,South,Guangxi,4230
2017 16,South,Guangxi,4280
2017 17,South,Guangxi,4220
2017 18,South,Guangxi,4290
2017 19,South,Guangxi,4770
2017 20,South,Guangxi,4890
2017 21,South,Guangxi,4780
2017 22,South,Guangxi,5200
2017 23,South,Guangxi,5370
2017 24,South,Guangxi,5080
2017 25,South,Guangxi,4900
2017 26,South,Guangxi,4580
2017 27,South,Guangxi,4450
2017 28,South,Guangxi,4680
2017 29,South,Guangxi,4710
2017 30,South,Guangxi,4640
2017 31,South,Guangxi,4860
2017 32,South,Guangxi,4740
2017 33,South,Guangxi,4810
2017 34,South,Guangxi,4390
2017 35,South,Guangxi,4500
2017 36,South,Guangxi,4710
2017 37,South,Guangxi,4720
2017 38,South,Guangxi,4750
2017 39,South,Guangxi,4740
2017 40,South,Guangxi,4840
2017 41,South,Guangxi,4840
2017 42,South,Guangxi,4890
2017 43,South,Guangxi,4770
2017 44,South,Guangxi,4710
2017 45,South,Guangxi,4830
2017 46,South,Guangxi,4850
2017 47,South,Guangxi,4790
2017 48,South,Guangxi,4740
2017 49,South,Guangxi,4790
2017 50,South,Guangxi,4800
2017 51,South,Guangxi,4790
2017 52,South,Guangxi,4860
2018 01,South,Guangxi,4780
2018 02,South,Guangxi,4810
2018 03,South,Guangxi,4720
2018 04,South,Guangxi,4820
2018 05,South,Guangxi,4750
2018 06,South,Guangxi,4760
2018 07,South,Guangxi,4780
2018 08,South,Guangxi,4780
2018 09,South,Guangxi,4760
2018 10,South,Guangxi,4740
2018 11,South,Guangxi,4780
2018 12,South,Guangxi,4760
2018 13,South,Guangxi,4780
2018 14,South,Guangxi,4020
2018 15,South,Guangxi,4020
2018 16,South,Guangxi,3900
2018 17,South,Guangxi,4170
2018 18,South,Guangxi,4170
2018 19,South,Guangxi,4840
2018 20,South,Guangxi,4840
2018 21,South,Guangxi,5570
2018 22,South,Guangxi,5250
2018 23,South,Guangxi,5160
2018 24,South,Guangxi,4780
2018 25,South,Guangxi,4850
2018 26,South,Guangxi,5310
2018 27,South,Guangxi,5530
2018 28,South,Guangxi,5360
2018 29,South,Guangxi,5470
2018 30,South,Guangxi,5670
2018 31,South,Guangxi,5610
2018 32,South,Guangxi,5360
2018 33,South,Guangxi,5360
2018 34,South,Guangxi,5810
2018 35,South,Guangxi,5810
2018 36,South,Guangxi,5950
2018 37,South,Guangxi,5450
2018 38,South,Guangxi,5240
2018 39,South,Guangxi,5090
2018 40,South,Guangxi,5090
2018 41,South,Guangxi,5050
2018 42,South,Guangxi,5050
2018 43,South,Guangxi,5150
2018 44,South,Guangxi,5270
2018 45,South,Guangxi,5210
2018 46,South,Guangxi,5350
2018 47,South,Guangxi,5140
2018 48,South,Guangxi,5140
2018 49,South,Guangxi,5240
2018 50,South,Guangxi,5480
2018 51,South,Guangxi,5600
2018 52,South,Guangxi,5580
2019 01,South,Guangxi,5670
2019 02,South,Guangxi,5810
2019 03,South,Guangxi,5960
2019 04,South,Guangxi,5740
2019 05,South,Guangxi,5820
2019 06,South,Guangxi,5560
2019 07,South,Guangxi,5560
2019 08,South,Guangxi,5360
2019 09,South,Guangxi,5370
2019 10,South,Guangxi,5130
2019 11,South,Guangxi,5230
2019 12,South,Guangxi,5150
2019 13,South,Guangxi,5030
2019 14,South,Guangxi,5120
2019 15,South,Guangxi,5020
2019 16,South,Guangxi,5140
2019 17,South,Guangxi,4970
2019 18,South,Guangxi,4840
2019 19,South,Guangxi,4970
2019 20,South,Guangxi,4620
2019 21,South,Guangxi,4260
2019 22,South,Guangxi,4440
2019 23,South,Guangxi,4280
2019 24,South,Guangxi,4100
2019 25,South,Guangxi,4320
2019 26,South,Guangxi,4120
2019 27,South,Guangxi,4270
2019 28,South,Guangxi,3830
2019 29,South,Guangxi,3550
2019 30,South,Guangxi,3570
2019 31,South,Guangxi,3630
2019 32,South,Guangxi,3270
2019 33,South,Guangxi,3180
2019 34,South,Guangxi,3170
2019 35,South,Guangxi,3540
2019 36,South,Guangxi,3810
2019 37,South,Guangxi,4040
2019 38,South,Guangxi,4740
2019 39,South,Guangxi,4610
2019 40,South,Guangxi,4650
2019 41,South,Guangxi,4650
2019 42,South,Guangxi,4420
2019 43,South,Guangxi,4660
2019 44,South,Guangxi,4570
2019 45,South,Guangxi,4470
2019 46,South,Guangxi,4060
2019 47,South,Guangxi,4170
2019 48,South,Guangxi,4040
2019 49,South,Guangxi,3740
2019 50,South,Guangxi,3350
2019 51,South,Guangxi,3350
2019 52,South,Guangxi,3570
2020 01,South,Guangxi,3600
2020 02,South,Guangxi,3380
2020 03,South,Guangxi,4020
2020 04,South,Guangxi,4130
2020 05,South,Guangxi,4070
2020 06,South,Guangxi,4070
2020 07,South,Guangxi,3810
2020 08,South,Guangxi,3810
2020 09,South,Guangxi,3710
2020 10,South,Guangxi,3800
2020 11,South,Guangxi,3730
2020 12,South,Guangxi,3430
2020 13,South,Guangxi,3580
2020 14,South,Guangxi,3700
2020 15,South,Guangxi,4040
2020 16,South,Guangxi,4080
2020 17,South,Guangxi,4420
2020 18,South,Guangxi,4740
2020 19,South,Guangxi,4310
2020 20,South,Guangxi,3990
2020 21,South,Guangxi,4110
2020 22,South,Guangxi,3880
2020 23,South,Guangxi,3930
2020 24,South,Guangxi,3910
2020 25,South,Guangxi,4100
2020 26,South,Guangxi,4260
2020 27,South,Guangxi,4390
2020 28,South,Guangxi,4470
2020 29,South,Guangxi,4360
2020 30,South,Guangxi,4530
2020 31,South,Guangxi,4600
2020 32,South,Guangxi,4760
2020 33,South,Guangxi,4930
2020 34,South,Guangxi,4990
2020 35,South,Guangxi,5160
2020 36,South,Guangxi,5270
2020 37,South,Guangxi,5460
2020 38,South,Guangxi,5580
2020 39,South,Guangxi,5610
2020 40,South,Guangxi,5610
2020 41,South,Guangxi,6000
2020 42,South,Guangxi,6000
2020 43,South,Guangxi,6190
2020 44,South,Guangxi,6510
2020 45,South,Guangxi,6690
2020 46,South,Guangxi,6280
2020 47,South,Guangxi,6230
2020 48,South,Guangxi,5930
2020 49,South,Guangxi,5850
2020 50,South,Guangxi,5660
2020 51,South,Guangxi,5750
2020 52,South,Guangxi,5530
2020 53,South,Guangxi,5240
2021 01,South,Guangxi,5290
2021 02,South,Guangxi,5010
2021 03,South,Guangxi,4930
2021 04,South,Guangxi,5440
2021 05,South,Guangxi,5510
2021 06,South,Guangxi,5010
2021 07,South,Guangxi,5010
2021 08,South,Guangxi,4610
2021 09,South,Guangxi,4310
2021 10,South,Guangxi,4330
2021 11,South,Guangxi,4560
2021 12,South,Guangxi,4660
2021 13,South,Guangxi,4530
2021 14,South,Guangxi,4590
2021 15,South,Guangxi,4510
2021 16,South,Guangxi,4230
2021 17,South,Guangxi,4210
2021 18,South,Guangxi,4160
2021 19,South,Guangxi,3960
2021 20,South,Guangxi,3870
2021 21,South,Guangxi,3410
2021 22,South,Guangxi,3510
2021 23,South,Guangxi,3430
2021 24,South,Guangxi,3530
2021 25,South,Guangxi,3580
2021 26,South,Guangxi,3310
2021 27,South,Guangxi,3160
2021 28,South,Guangxi,3010
2021 29,South,Guangxi,3360
2021 30,South,Guangxi,3060
2021 31,South,Guangxi,3510
2021 32,South,Guangxi,3590
2021 33,South,Guangxi,3790
2021 34,South,Guangxi,4160
2021 35,South,Guangxi,4210
2021 36,South,Guangxi,4060
2021 37,South,Guangxi,3730
2021 38,South,Guangxi,3660
2021 39,South,Guangxi,4160
2021 40,South,Guangxi,4210
2021 41,South,Guangxi,4570
2021 42,South,Guangxi,4360
2021 43,South,Guangxi,4560
2021 44,South,Guangxi,4690
2021 45,South,Guangxi,4590
2021 46,South,Guangxi,4440
2021 47,South,Guangxi,4180
2021 48,South,Guangxi,3960
2021 49,South,Guangxi,3880
2021 50,South,Guangxi,3980
2021 51,South,Guangxi,4230
2021 52,South,Guangxi,4330
2022 01,South,Guangxi,4180
2022 02,South,Guangxi,4400
2022 03,South,Guangxi,4320
2022 04,South,Guangxi,4120
2022 05,South,Guangxi,4180
2022 06,South,Guangxi,4380
2022 07,South,Guangxi,4580
2022 08,South,Guangxi,4600
2022 09,South,Guangxi,4650
2022 10,South,Guangxi,4400
2022 11,South,Guangxi,4480
2022 12,South,Guangxi,4430
2022 13,South,Guangxi,4380
2022 14,South,Guangxi,4520
2022 15,South,Guangxi,4650
2022 16,South,Guangxi,4790
2022 17,South,Guangxi,4760
2022 18,South,Guangxi,4530
2022 19,South,Guangxi,4430
2022 20,South,Guangxi,4350
2022 21,South,Guangxi,4250
2022 22,South,Guangxi,4320
2022 23,South,Guangxi,4480
2022 24,South,Guangxi,4350
2022 25,South,Guangxi,4080
2022 26,South,Guangxi,4250
2022 27,South,Guangxi,3850
2022 28,South,Guangxi,3850
2022 29,South,Guangxi,3620
2022 30,South,Guangxi,3950
2022 31,South,Guangxi,4050
2022 32,South,Guangxi,3800
2022 33,South,Guangxi,3500
2022 34,South,Guangxi,3350
2022 35,South,Guangxi,3420
2022 36,South,Guangxi,3220
2022 37,South,Guangxi,3250
2022 38,South,Guangxi,2780
2022 39,South,Guangxi,2350
2022 40,South,Guangxi,2290
2022 41,South,Guangxi,2030
2022 42,South,Guangxi,1750
2022 43,South,Guangxi,1600
2022 44,South,Guangxi,1720
2022 45,South,Guangxi,1620
2022 46,South,Guangxi,1850
2022 47,South,Guangxi,1730
2022 48,South,Guangxi,1730
2022 49,South,Guangxi,1850
2022 50,South,Guangxi,1850
2022 51,South,Guangxi,1920
2022 52,South,Guangxi,1900
2023 01,South,Guangxi,2250
2023 02,South,Guangxi,2020
2023 03,South,Guangxi,2360
2023 04,South,Guangxi,2380
2023 05,South,Guangxi,2000
2023 06,South,Guangxi,2120
2023 07,South,Guangxi,2020
2023 08,South,Guangxi,1970
2023 09,South,Guangxi,1880
2023 10,South,Guangxi,2030
2023 11,South,Guangxi,2020
2023 12,South,Guangxi,2000
2023 13,South,Guangxi,2350
2023 14,South,Guangxi,2480
2023 15,South,Guangxi,2550
2023 16,South,Guangxi,2620
2023 17,South,Guangxi,2661
2015 01,North,Hebei,24990
2015 02,North,Hebei,25460
2015 03,North,Hebei,24770
2015 04,North,Hebei,22990
2015 05,North,Hebei,23050
2015 06,North,Hebei,22780
2015 07,North,Hebei,22760
2015 08,North,Hebei,23660
2015 09,North,Hebei,23660
2015 10,North,Hebei,23820
2015 11,North,Hebei,25220
2015 12,North,Hebei,24420
2015 13,North,Hebei,25270
2015 14,North,Hebei,24820
2015 15,North,Hebei,24280
2015 16,North,Hebei,24000
2015 17,North,Hebei,24100
2015 18,North,Hebei,23960
2015 19,North,Hebei,22410
2015 20,North,Hebei,22110
2015 21,North,Hebei,23250
2015 22,North,Hebei,22490
2015 23,North,Hebei,21990
2015 24,North,Hebei,21380
2015 25,North,Hebei,21230
2015 26,North,Hebei,21520
2015 27,North,Hebei,21810
2015 28,North,Hebei,20620
2015 29,North,Hebei,20310
2015 30,North,Hebei,19960
2015 31,North,Hebei,19000
2015 32,North,Hebei,19110
2015 33,North,Hebei,18580
2015 34,North,Hebei,18910
2015 35,North,Hebei,19350
2015 36,North,Hebei,21560
2015 37,North,Hebei,20690
2015 38,North,Hebei,21090
2015 39,North,Hebei,21730
2015 40,North,Hebei,20940
2015 41,North,Hebei,20940
2015 42,North,Hebei,20750
2015 43,North,Hebei,20830
2015 44,North,Hebei,20850
2015 45,North,Hebei,20690
2015 46,North,Hebei,20520
2015 47,North,Hebei,20010
2015 48,North,Hebei,21430
2015 49,North,Hebei,19610
2015 50,North,Hebei,20790
2015 51,North,Hebei,21260
2015 52,North,Hebei,21130
2015 53,North,Hebei,21120
2016 01,North,Hebei,22090
2016 02,North,Hebei,22160
2016 03,North,Hebei,22520
2016 04,North,Hebei,22560
2016 05,North,Hebei,21720
2016 06,North,Hebei,24370
2016 07,North,Hebei,24610
2016 08,North,Hebei,24690
2016 09,North,Hebei,25610
2016 10,North,Hebei,25410
2016 11,North,Hebei,24840
2016 12,North,Hebei,24760
2016 13,North,Hebei,24450
2016 14,North,Hebei,25910
2016 15,North,Hebei,25230
2016 16,North,Hebei,26550
2016 17,North,Hebei,26890
2016 18,North,Hebei,28900
2016 19,North,Hebei,29420
2016 20,North,Hebei,30090
2016 21,North,Hebei,30660
2016 22,North,Hebei,30020
2016 23,North,Hebei,27440
2016 24,North,Hebei,27160
2016 25,North,Hebei,27630
2016 26,North,Hebei,27920
2016 27,North,Hebei,27640
2016 28,North,Hebei,26970
2016 29,North,Hebei,25590
2016 30,North,Hebei,25580
2016 31,North,Hebei,25910
2016 32,North,Hebei,25040
2016 33,North,Hebei,25370
2016 34,North,Hebei,24350
2016 35,North,Hebei,24170
2016 36,North,Hebei,23470
2016 37,North,Hebei,23650
2016 38,North,Hebei,23320
2016 39,North,Hebei,25450
2016 40,North,Hebei,24960
2016 41,North,Hebei,23750
2016 42,North,Hebei,24090
2016 43,North,Hebei,24090
2016 44,North,Hebei,25300
2016 45,North,Hebei,25960
2016 46,North,Hebei,26560
2016 47,North,Hebei,26470
2016 48,North,Hebei,27360
2016 49,North,Hebei,27310
2016 50,North,Hebei,26680
2016 51,North,Hebei,25510
2016 52,North,Hebei,26240
2017 01,North,Hebei,27030
2017 02,North,Hebei,27950
2017 03,North,Hebei,28000
2017 04,North,Hebei,29810
2017 05,North,Hebei,30490
2017 06,North,Hebei,31480
2017 07,North,Hebei,32330
2017 08,North,Hebei,33150
2017 09,North,Hebei,33810
2017 10,North,Hebei,33890
2017 11,North,Hebei,34320
2017 12,North,Hebei,34640
2017 13,North,Hebei,33960
2017 14,North,Hebei,32970
2017 15,North,Hebei,31960
2017 16,North,Hebei,31640
2017 17,North,Hebei,31840
2017 18,North,Hebei,32290
2017 19,North,Hebei,32410
2017 20,North,Hebei,32550
2017 21,North,Hebei,31130
2017 22,North,Hebei,31700
2017 23,North,Hebei,33710
2017 24,North,Hebei,33470
2017 25,North,Hebei,35680
2017 26,North,Hebei,36360
2017 27,North,Hebei,36100
2017 28,North,Hebei,37060
2017 29,North,Hebei,38040
2017 30,North,Hebei,38210
2017 31,North,Hebei,36440
2017 32,North,Hebei,36360
2017 33,North,Hebei,35610
2017 34,North,Hebei,34960
2017 35,North,Hebei,33770
2017 36,North,Hebei,32950
2017 37,North,Hebei,33190
2017 38,North,Hebei,33710
2017 39,North,Hebei,35130
2017 40,North,Hebei,34730
2017 41,North,Hebei,34730
2017 42,North,Hebei,35710
2017 43,North,Hebei,36610
2017 44,North,Hebei,39520
2017 45,North,Hebei,39420
2017 46,North,Hebei,38460
2017 47,North,Hebei,38210
2017 48,North,Hebei,38370
2017 49,North,Hebei,38660
2017 50,North,Hebei,39020
2017 51,North,Hebei,39020
2017 52,North,Hebei,39680
2018 01,North,Hebei,40120
2018 02,North,Hebei,41070
2018 03,North,Hebei,41720
2018 04,North,Hebei,42050
2018 05,North,Hebei,43050
2018 06,North,Hebei,44540
2018 07,North,Hebei,46600
2018 08,North,Hebei,46600
2018 09,North,Hebei,46570
2018 10,North,Hebei,45440
2018 11,North,Hebei,48260
2018 12,North,Hebei,47970
2018 13,North,Hebei,48640
2018 14,North,Hebei,45600
2018 15,North,Hebei,45600
2018 16,North,Hebei,46110
2018 17,North,Hebei,45100
2018 18,North,Hebei,46210
2018 19,North,Hebei,43950
2018 20,North,Hebei,43950
2018 21,North,Hebei,43610
2018 22,North,Hebei,43230
2018 23,North,Hebei,43100
2018 24,North,Hebei,42600
2018 25,North,Hebei,41700
2018 26,North,Hebei,41470
2018 27,North,Hebei,39750
2018 28,North,Hebei,39850
2018 29,North,Hebei,40350
2018 30,North,Hebei,41070
2018 31,North,Hebei,40480
2018 32,North,Hebei,39700
2018 33,North,Hebei,39700
2018 34,North,Hebei,37880
2018 35,North,Hebei,37880
2018 36,North,Hebei,38350
2018 37,North,Hebei,38910
2018 38,North,Hebei,40100
2018 39,North,Hebei,38810
2018 40,North,Hebei,38810
2018 41,North,Hebei,38350
2018 42,North,Hebei,38350
2018 43,North,Hebei,38900
2018 44,North,Hebei,37940
2018 45,North,Hebei,37240
2018 46,North,Hebei,37440
2018 47,North,Hebei,36880
2018 48,North,Hebei,36880
2018 49,North,Hebei,36070
2018 50,North,Hebei,36560
2018 51,North,Hebei,36320
2018 52,North,Hebei,36640
2019 01,North,Hebei,37150
2019 02,North,Hebei,36570
2019 03,North,Hebei,36860
2019 04,North,Hebei,35680
2019 05,North,Hebei,35170
2019 06,North,Hebei,36690
2019 07,North,Hebei,36690
2019 08,North,Hebei,36510
2019 09,North,Hebei,36070
2019 10,North,Hebei,36930
2019 11,North,Hebei,37940
2019 12,North,Hebei,38220
2019 13,North,Hebei,38080
2019 14,North,Hebei,38220
2019 15,North,Hebei,36410
2019 16,North,Hebei,34910
2019 17,North,Hebei,34190
2019 18,North,Hebei,34400
2019 19,North,Hebei,34290
2019 20,North,Hebei,34290
2019 21,North,Hebei,33300
2019 22,North,Hebei,31260
2019 23,North,Hebei,31240
2019 24,North,Hebei,30010
2019 25,North,Hebei,30050
2019 26,North,Hebei,28890
2019 27,North,Hebei,28460
2019 28,North,Hebei,28130
2019 29,North,Hebei,28870
2019 30,North,Hebei,28490
2019 31,North,Hebei,29540
2019 32,North,Hebei,29950
2019 33,North,Hebei,29650
2019 34,North,Hebei,30900
2019 35,North,Hebei,30830
2019 36,North,Hebei,29150
2019 37,North,Hebei,29360
2019 38,North,Hebei,28880
2019 39,North,Hebei,29840
2019 40,North,Hebei,33750
2019 41,North,Hebei,33750
2019 42,North,Hebei,34700
2019 43,North,Hebei,35360
2019 44,North,Hebei,33480
2019 45,North,Hebei,32740
2019 46,North,Hebei,31390
2019 47,North,Hebei,31390
2019 48,North,Hebei,30680
2019 49,North,Hebei,29740
2019 50,North,Hebei,29070
2019 51,North,Hebei,29860
2019 52,North,Hebei,30570
2020 01,North,Hebei,31400
2020 02,North,Hebei,30400
2020 03,North,Hebei,29260
2020 04,North,Hebei,29750
2020 05,North,Hebei,31870
2020 06,North,Hebei,31870
2020 07,North,Hebei,32900
2020 08,North,Hebei,32900
2020 09,North,Hebei,32090
2020 10,North,Hebei,31450
2020 11,North,Hebei,30420
2020 12,North,Hebei,31160
2020 13,North,Hebei,30230
2020 14,North,Hebei,29520
2020 15,North,Hebei,29030
2020 16,North,Hebei,29370
2020 17,North,Hebei,28610
2020 18,North,Hebei,27850
2020 19,North,Hebei,26880
2020 20,North,Hebei,27640
2020 21,North,Hebei,27220
2020 22,North,Hebei,25960
2020 23,North,Hebei,27230
2020 24,North,Hebei,26470
2020 25,North,Hebei,27520
2020 26,North,Hebei,26140
2020 27,North,Hebei,25370
2020 28,North,Hebei,25460
2020 29,North,Hebei,26810
2020 30,North,Hebei,28360
2020 31,North,Hebei,29300
2020 32,North,Hebei,29130
2020 33,North,Hebei,28710
2020 34,North,Hebei,28300
2020 35,North,Hebei,27580
2020 36,North,Hebei,27710
2020 37,North,Hebei,29300
2020 38,North,Hebei,28140
2020 39,North,Hebei,28470
2020 40,North,Hebei,28470
2020 41,North,Hebei,29580
2020 42,North,Hebei,29580
2020 43,North,Hebei,31010
2020 44,North,Hebei,31220
2020 45,North,Hebei,30070
2020 46,North,Hebei,29840
2020 47,North,Hebei,29480
2020 48,North,Hebei,28870
2020 49,North,Hebei,28170
2020 50,North,Hebei,27090
2020 51,North,Hebei,28120
2020 52,North,Hebei,29660
2020 53,North,Hebei,30060
2021 01,North,Hebei,29650
2021 02,North,Hebei,29690
2021 03,North,Hebei,29110
2021 04,North,Hebei,29780
2021 05,North,Hebei,29370
2021 06,North,Hebei,30500
2021 07,North,Hebei,30500
2021 08,North,Hebei,29780
2021 09,North,Hebei,30610
2021 10,North,Hebei,31410
2021 11,North,Hebei,32480
2021 12,North,Hebei,32650
2021 13,North,Hebei,32580
2021 14,North,Hebei,32510
2021 15,North,Hebei,33600
2021 16,North,Hebei,33550
2021 17,North,Hebei,32430
2021 18,North,Hebei,32250
2021 19,North,Hebei,31690
2021 20,North,Hebei,31700
2021 21,North,Hebei,31550
2021 22,North,Hebei,30670
2021 23,North,Hebei,28770
2021 24,North,Hebei,27870
2021 25,North,Hebei,28250
2021 26,North,Hebei,27270
2021 27,North,Hebei,27390
2021 28,North,Hebei,28240
2021 29,North,Hebei,27930
2021 30,North,Hebei,28950
2021 31,North,Hebei,28600
2021 32,North,Hebei,28130
2021 33,North,Hebei,28460
2021 34,North,Hebei,28650
2021 35,North,Hebei,28420
2021 36,North,Hebei,27820
2021 37,North,Hebei,27500
2021 38,North,Hebei,26600
2021 39,North,Hebei,28500
2021 40,North,Hebei,28400
2021 41,North,Hebei,29880
2021 42,North,Hebei,31330
2021 43,North,Hebei,32950
2021 44,North,Hebei,33230
2021 45,North,Hebei,33630
2021 46,North,Hebei,33850
2021 47,North,Hebei,33700
2021 48,North,Hebei,33500
2021 49,North,Hebei,33100
2021 50,North,Hebei,34050
2021 51,North,Hebei,32850
2021 52,North,Hebei,32970
2022 01,North,Hebei,33080
2022 02,North,Hebei,33270
2022 03,North,Hebei,31770
2022 04,North,Hebei,31070
2022 05,North,Hebei,30720
2022 06,North,Hebei,30800
2022 07,North,Hebei,32000
2022 08,North,Hebei,32410
2022 09,North,Hebei,33310
2022 10,North,Hebei,33360
2022 11,North,Hebei,33210
2022 12,North,Hebei,34160
2022 13,North,Hebei,34820
2022 14,North,Hebei,34930
2022 15,North,Hebei,33780
2022 16,North,Hebei,33470
2022 17,North,Hebei,33530
2022 18,North,Hebei,32530
2022 19,North,Hebei,31130
2022 20,North,Hebei,28320
2022 21,North,Hebei,27270
2022 22,North,Hebei,26630
2022 23,North,Hebei,23940
2022 24,North,Hebei,22760
2022 25,North,Hebei,22140
2022 26,North,Hebei,22310
2022 27,North,Hebei,22880
2022 28,North,Hebei,23480
2022 29,North,Hebei,23500
2022 30,North,Hebei,23430
2022 31,North,Hebei,24360
2022 32,North,Hebei,24710
2022 33,North,Hebei,25450
2022 34,North,Hebei,25720
2022 35,North,Hebei,27220
2022 36,North,Hebei,27600
2022 37,North,Hebei,27920
2022 38,North,Hebei,26310
2022 39,North,Hebei,26530
2022 40,North,Hebei,25520
2022 41,North,Hebei,25420
2022 42,North,Hebei,25380
2022 43,North,Hebei,25360
2022 44,North,Hebei,27130
2022 45,North,Hebei,27350
2022 46,North,Hebei,26690
2022 47,North,Hebei,27230
2022 48,North,Hebei,26950
2022 49,North,Hebei,27900
2022 50,North,Hebei,27750
2022 51,North,Hebei,27330
2022 52,North,Hebei,26130
2023 01,North,Hebei,25500
2023 02,North,Hebei,26620
2023 03,North,Hebei,25680
2023 04,North,Hebei,26490
2023 05,North,Hebei,25720
2023 06,North,Hebei,25700
2023 07,North,Hebei,26570
2023 08,North,Hebei,26790
2023 09,North,Hebei,27180
2023 10,North,Hebei,27330
2023 11,North,Hebei,27490
2023 12,North,Hebei,28060
2023 13,North,Hebei,27830
2023 14,North,Hebei,27430
2023 15,North,Hebei,27690
2023 16,North,Hebei,28160
2023 17,North,Hebei,28127
2015 01,Central,Jiangsu,14160
2015 02,Central,Jiangsu,14330
2015 03,Central,Jiangsu,14830
2015 04,Central,Jiangsu,15050
2015 05,Central,Jiangsu,14360
2015 06,Central,Jiangsu,14090
2015 07,Central,Jiangsu,13840
2015 08,Central,Jiangsu,13440
2015 09,Central,Jiangsu,13440
2015 10,Central,Jiangsu,13440
2015 11,Central,Jiangsu,13800
2015 12,Central,Jiangsu,13900
2015 13,Central,Jiangsu,13580
2015 14,Central,Jiangsu,13650
2015 15,Central,Jiangsu,14000
2015 16,Central,Jiangsu,13330
2015 17,Central,Jiangsu,13580
2015 18,Central,Jiangsu,13400
2015 19,Central,Jiangsu,13430
2015 20,Central,Jiangsu,12970
2015 21,Central,Jiangsu,11730
2015 22,Central,Jiangsu,13140
2015 23,Central,Jiangsu,12910
2015 24,Central,Jiangsu,13440
2015 25,Central,Jiangsu,13150
2015 26,Central,Jiangsu,13330
2015 27,Central,Jiangsu,13380
2015 28,Central,Jiangsu,13370
2015 29,Central,Jiangsu,13710
2015 30,Central,Jiangsu,13740
2015 31,Central,Jiangsu,13510
2015 32,Central,Jiangsu,13890
2015 33,Central,Jiangsu,13960
2015 34,Central,Jiangsu,13740
2015 35,Central,Jiangsu,12660
2015 36,Central,Jiangsu,12610
2015 37,Central,Jiangsu,12010
2015 38,Central,Jiangsu,12090
2015 39,Central,Jiangsu,12580
2015 40,Central,Jiangsu,12100
2015 41,Central,Jiangsu,12100
2015 42,Central,Jiangsu,12470
2015 43,Central,Jiangsu,13510
2015 44,Central,Jiangsu,13520
2015 45,Central,Jiangsu,11990
2015 46,Central,Jiangsu,14180
2015 47,Central,Jiangsu,14360
2015 48,Central,Jiangsu,14490
2015 49,Central,Jiangsu,14710
2015 50,Central,Jiangsu,15150
