Date,Year,Month,Day,HIGH_x_log,LOW_x_log,OPEN_x_log,VOLUME_x_log,HIGH_y_log,LOW_y_log,OPEN_y_log,CLOSE_x_log,VOLUME_y_log,flows_daily_total_log,china_daily_import_log,row_daily_import_log,aus_daily_export_log,brazil_daily_export_log,row_daily_export_log,polarity_avg_daily_log,article_count_daily_log,stocks_daily_log,Sentiment__Non-neutral,flows_daily_total_log_cluster_high_activity,china_daily_import_log_cluster_high_activity,brazil_daily_export_log_cluster_active,row_daily_export_log_cluster_active
2015-01-02,2015,1,2,4.287028906051602,4.287028906051602,4.287028906051602,1.791759469228055,4.283862385886651,4.262257252536892,4.262257252536892,4.272072250005828,4.219507705176107,14.755923709460658,14.3898572322326,13.573528720127818,14.55212456646702,12.710190824599207,11.857122084440864,0.0,0.0,0.17856450791624237,0,0,0,1,1
2015-01-03,2015,1,3,4.287028906051602,4.287028906051602,4.287028906051602,1.791759469228055,4.283862385886651,4.262257252536892,4.262257252536892,4.272072250005828,4.219507705176107,14.060560317006926,13.782745853625812,12.644068329956632,14.005194242666281,0.0,11.139231283367096,0.0,0.0,0.17856450791624237,0,0,0,0,1
2015-01-04,2015,1,4,4.287028906051602,4.287028906051602,4.287028906051602,1.791759469228055,4.283862385886651,4.262257252536892,4.262257252536892,4.272072250005828,4.219507705176107,14.507042415091508,14.32830831459724,12.697153099129292,14.044337884382557,13.328022539750226,11.739915831793006,0.0,0.0,0.17856450791624237,0,0,0,1,1
2015-01-05,2015,1,5,4.287028906051602,4.287028906051602,4.287028906051602,1.791759469228055,4.283862385886651,4.262257252536892,4.262257252536892,4.261834449345476,4.219507705176107,16.439713125105364,15.92861702054577,15.52382815846668,16.038381040788245,15.07392552378793,13.85466976249517,0.0,0.0,0.17856450791624237,0,1,1,1,1
2015-01-06,2015,1,6,4.287028906051602,4.287028906051602,4.287028906051602,1.791759469228055,4.283862385886651,4.262257252536892,4.262257252536892,4.285515734293038,4.219507705176107,14.282880974596706,13.657107446853734,13.51749224616622,14.060211639752497,11.577427829204147,12.263832584528695,0.0,0.0,0.17856450791624237,0,0,0,1,1
2015-01-07,2015,1,7,4.281930018135596,4.281930018135596,4.281930018135596,2.0541237336955462,4.269697449699962,4.261693475213995,4.269697449699962,4.279301532151069,4.007333185232471,14.020706151163644,13.56959089530366,13.007583390828929,13.955269548161162,11.261505618275853,0.0,0.0,0.0,0.17856450791624237,0,0,0,1,0
2015-01-08,2015,1,8,4.276804998260776,4.276804998260776,4.276804998260776,2.2617630984737906,4.26549281841793,4.2612704335380815,4.2626798770413155,4.275832438267478,3.4339872044851463,14.10613150469144,13.828311248422677,12.689657462765553,14.10613150469144,0.0,0.0,0.0,0.0,0.17856450791624237,0,0,0,0,0
2015-01-09,2015,1,9,4.271653577192511,4.271653577192511,4.271653577192511,2.4336133554004498,4.259293869291585,4.253056253376921,4.259293869291585,4.269697449699962,3.044522437723423,14.344826880000246,13.533804254983304,13.757115196125364,14.075648947779012,12.744333316022846,10.969209002723781,0.0,0.0,0.17856450791624237,0,0,0,1,1
2015-01-10,2015,1,10,4.271653577192511,4.271653577192511,4.271653577192511,2.4336133554004498,4.259293869291585,4.253056253376921,4.259293869291585,4.269697449699962,3.044522437723423,14.154149393670856,13.774256420083526,13.002345510121007,13.98793620384927,12.050038526477602,10.686225314410114,0.0,0.0,0.17856450791624237,0,0,0,1,1
2015-01-11,2015,1,11,4.271653577192511,4.271653577192511,4.271653577192511,2.4336133554004498,4.259293869291585,4.253056253376921,4.259293869291585,4.269697449699962,3.044522437723423,14.389356028327706,14.245759087547688,12.377675865629959,14.389356028327706,0.0,0.0,0.0,0.0,0.17856450791624237,0,0,0,0,0
